id,value
GDS_Google_Analytics,
GDS_Google_Analytics.Alphagov_23066786,
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_sta_UA-23066786-2,
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_sta_UA-23066786-2.Campaigns_platform_tes_45426676,1
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_tes_UA-23066786-1,
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_tes_UA-23066786-1.alpha_gov_uk_45426675,1
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_tes_UA-23066786-1.Ash_-_testing_73837276,1
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_tes_UA-23066786-1.GDS_campaigns_testing__53265364,1
GDS_Google_Analytics.Alphagov_23066786.Campaigns_platform_tes_UA-23066786-1.IDA_Test-1_73849518,1
GDS_Google_Analytics.http://getsatisfaction_UA-23066786-3,
GDS_Google_Analytics.Alphagov_23066786.http://getsatisfaction_UA-23066786-3.getsatisfaction_com/al_46280294,1
GDS_Google_Analytics.Alphagov_23066786.IDA_Quantitative_Research_UA-23066786-6,
GDS_Google_Analytics.IDA_Quantitative_Research_UA-23066786-6.All_site_data_(Unfilte_74666176,1
GDS_Google_Analytics.IDA_Quantitative_Research_UA-23066786-6.Ash_testing_(Filtered)_74810260,1
GDS_Google_Analytics.Alphagov_23066786.IDA_Quantitative_Research_UA-23066786-6.Filtered_profile_(IP_a_74806807,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5,
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.cpc_&_referrals_only_97411853,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.Electoral_Commission_R_135119842,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.English_&_Welsh_135127453,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.IER_-_Alphagov_co_uk_58451694,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.Preproduction/preview__179738603,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.Register_to_vote_service_87155691,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.Test_98756165,1
GDS_Google_Analytics.Alphagov_23066786.IER_Voter_Registration_UA-23066786-5.Unfiltered_View_88038056,1
GDS_Google_Analytics.Digital_Marketplace_49258698,
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7,
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7.1__DM_Admin_App_-_PROD_184204729,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7.2__DM_Admin_App_-_STAGING_184237620,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7.3__DM_Admin_App_-_PREVIEW_184216033,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7.All_Web_Site_Data_184209273,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Admin_App_-_Digital_Ma_UA-49258698-7.x__'Raw_data'_view_184422283,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Digital_Marketplace_GTM_UA-49258698-6,
GDS_Google_Analytics.Digital_Marketplace_49258698.Digital_Marketplace_GTM_UA-49258698-6.All_Web_Site_Data_150650204,1
GDS_Google_Analytics.Digital_Marketplace_49258698.Digital_Marketplace_GTM_UA-49258698-6.Digital_Marketplace_(L_152668145,1
GDS_Google_Analytics.GDS_apps_220309926,
GDS_Google_Analytics.GDS_apps_220309926.No_UA_properties_for_account,
GDS_Google_Analytics.GDS_apps_220309926.No_UA_properties_for_account.No_UA_views_for_account,1
GDS_Google_Analytics.GOV_UK_-_Blogs_40442074,
GDS_Google_Analytics.GOV_UK_-_Blogs_40442074.GOV_UK_Blog_Platform_(_UA-40442074-5,
GDS_Google_Analytics.GOV_UK_-_Blogs_40442074.GOV_UK_Blog_Platform_(_UA-40442074-5.All_Web_Site_Data_72441306,1
